Feature,Importance
Overall Qual,0.4782342329333015
TotalSF,0.20564845271603288
TotalLivingArea,0.07826891875787968
TotalBathrooms,0.019238070180654456
Central Air_Y,0.01325499102321266
Garage Area,0.012944326277978587
Garage Cars,0.012403864077256629
Gr Liv Area,0.012034022516515355
Lot Area,0.01159277455349722
Garage Yr Blt,0.009895326791470682
RemodelAge,0.008093456587372486
HouseAge,0.007933617729671927
Overall Cond,0.006961665891057446
BsmtFin SF 1,0.006926296978407054
Bsmt Unf SF,0.006916782518110443
1st Flr SF,0.0066896906431843
Year Remod/Add,0.006439704557441923
Year Built,0.005469873045577206
Fireplaces,0.004458290255851712
Lot Frontage,0.004247950103988495
Total Bsmt SF,0.003956146343268769
TotalPorchSF,0.0033456681898763893
2nd Flr SF,0.003336460014254786
Bsmt Qual_Ex,0.00330111989099933
Mo Sold,0.00275449436693103
Open Porch SF,0.0023743119974138764
Paved Drive_Y,0.002288877918740304
Garage Cond_TA,0.002127151449427547
Wood Deck SF,0.002012294387143782
Mas Vnr Area,0.0018350467270307322
Bsmt Qual_TA,0.001790960978804939
Enclosed Porch,0.001784316309036193
MS SubClass,0.0016769572735901872
Sale Condition_Normal,0.001649923870165138
MS Zoning_RM,0.0014540245466815429
MS Zoning_RL,0.0014337162234143192
TotRms AbvGrd,0.0012913344224740621
Kitchen Qual_Gd,0.001153023076513816
Yr Sold,0.0011374771378694591
Neighborhood_OldTown,0.00112434506525272
Kitchen Qual_TA,0.0010767075479109433
Bedroom AbvGr,0.001056603090700356
Functional_Sal,0.0010362672569231308
Bsmt Full Bath,0.0009720406500761282
MS Zoning_C (all),0.000925839301012131
Bsmt Qual_Gd,0.0008250005661836278
Garage Type_Detchd,0.0007728777160733863
Exter Qual_TA,0.0007584689881295552
Full Bath,0.0007267178491393633
Exter Cond_Fa,0.0007043768326371886
Sale Condition_Family,0.0006735517368704492
Fireplace Qu_Gd,0.000666265167418256
Neighborhood_Crawfor,0.0006645636779171586
Screen Porch,0.0006477604002132378
Bsmt Exposure_Gd,0.0006326584856387983
Neighborhood_Edwards,0.0006269809132427485
Electrical_SBrkr,0.0005872244408404447
Lot Shape_Reg,0.0005754036708103434
BsmtFin Type 1_GLQ,0.0005325095314474134
Half Bath,0.0005102628689106857
Land Contour_Lvl,0.0005031940919290782
Garage Type_Attchd,0.00047434513750639417
Heating QC_TA,0.00045916816366105024
Bsmt Exposure_No,0.0004575741953912987
Bsmt Qual_Fa,0.0004539940413158595
Sale Type_WD ,0.0004511719684278666
Functional_Typ,0.0004494453269912726
Garage Finish_Unf,0.0004294813370580191
Exter Qual_Gd,0.00042010791324987977
Garage Qual_TA,0.0004198387279302035
Heating QC_Po,0.0004082781853599961
Land Contour_HLS,0.0003931783218184897
Exter Cond_Po,0.00038338415013266
Lot Config_Inside,0.0003765271671350729
Kitchen AbvGr,0.0003749412689078545
Condition 1_Norm,0.00035025308307454206
Exterior 1st_VinylSd,0.00034561428498873725
Garage Finish_Fin,0.0003438880032446916
Exter Cond_TA,0.000341002273590932
Roof Style_Gable,0.00033656680526356715
Exterior 1st_BrkFace,0.00033198043029259165
BsmtFin Type 1_Unf,0.00032658883557387414
Foundation_CBlock,0.00032151501187296157
Exterior 2nd_VinylSd,0.00031763656915765345
Fireplace Qu_TA,0.00031528029486359
Neighborhood_NAmes,0.0003062791778148696
Bsmt Cond_TA,0.0003033705400666338
Exterior 1st_Wd Sdng,0.0002899835722481135
BsmtFin SF 2,0.0002895509006634656
Exterior 2nd_Wd Sdng,0.0002848377635621587
Garage Cond_Po,0.0002804152481116905
Heating QC_Gd,0.0002729820528941697
Heating QC_Fa,0.0002718669551498731
Bsmt Exposure_Av,0.0002708707348045386
Fence_GdWo,0.0002571959594576906
Foundation_PConc,0.0002524271403529266
BsmtFin Type 1_ALQ,0.00024998168810010617
Roof Matl_Tar&Grv,0.0002453270840731483
Sale Type_Oth,0.00024313516225980876
Bsmt Half Bath,0.00022759938149626737
BsmtFin Type 1_Rec,0.00021751152991885336
Exterior 2nd_MetalSd,0.00021713134144522552
Roof Matl_CompShg,0.00021405482740109057
Neighborhood_IDOTRR,0.00021375979952673328
Electrical_FuseF,0.00020953133856499293
Roof Style_Hip,0.00020414431768908613
Garage Finish_RFn,0.00020290329974437276
Land Slope_Mod,0.00020023246908878298
Exterior 1st_MetalSd,0.0001995425998651
Mas Vnr Type_BrkFace,0.00019710774713028366
Exter Cond_Gd,0.00019139616086845333
Bsmt Cond_Fa,0.0001901142691055759
Fence_MnPrv,0.00018893918681404565
Electrical_FuseA,0.00018819295681636177
House Style_1Story,0.00018777782981724872
Paved Drive_P,0.00018721994242359253
Exterior 2nd_Stucco,0.00018429709036503513
House Style_2Story,0.00017974257905727843
BsmtFin Type 1_LwQ,0.00016843528123595554
Exterior 1st_HdBoard,0.00016349255098175303
Sale Type_ConLD,0.00016246940664499436
Alley_Pave,0.00016195550857941464
Garage Cond_Fa,0.00016070192664205163
Condition 1_Feedr,0.00015547642200128685
Neighborhood_StoneBr,0.00015443983933019378
Heating_GasA,0.00015314303334645148
Alley_Grvl,0.0001521262457221121
Functional_Maj2,0.00014660526113474922
Neighborhood_NWAmes,0.00014561266820822116
Kitchen Qual_Fa,0.0001432291861352083
Neighborhood_Somerst,0.00014173391540248442
Bsmt Cond_Gd,0.00013956321159284876
Exterior 2nd_Plywood,0.00013559461267715063
BsmtFin Type 2_Unf,0.00012992854742563528
Neighborhood_Mitchel,0.00012806458910886897
Bsmt Exposure_Mn,0.00012753490801453664
Exterior 2nd_HdBoard,0.00012647114639682244
Street_Pave,0.00012546556968209168
BsmtFin Type 1_BLQ,0.00012216436403275825
